cenere;Asche
di quando in quando, ogni tanto;dann und wann, von Zeit zu Zeit, zeitweilig
visita;Besuch, Visite
facchino;Dienstmann, Gepäckträger, Träger
perdere l'abitunide di;abgewöhnen
aristocratico;aristokratisch
dovere;Gebühr/ schulden, schuldig sein
intendere;beabsichtigen, die Absicht haben, vorhaben
consolare;trösten, Trost spenden
andaluso;andalusisch
errore, sbaglio;Fehler, Irrtum, Versehen
efficace;drastisch, zweckdienlich
balletto;Ballett
pettegolezzo;Geplauder
ambasciatore;Botschafter, Gesandter
Cartagine;Karthago
faro;Leuchtturm
amministrare gli ultimi sacramenti;salben
cognata;Schwägerin
appetitoso;appetitlich
poltrona;Lehnstuhl
adottivo;Adoptiv...
carnagione;Gesichtsfarbe, Teint
dinamite;Dynamit
baionetta;Bajonett
bisnonno;Urahn, Urgroßvater
conveniente;angemessen, geeignet, zeitgemäß
circo;Zirkus
serio;ernst, ernsthaft, gesetzt
trebbiare;dreschen
spinaci;Spinat
bussola;Kompass
riccio;Igel
pazzo;Irre
nodo;Knoten
asiatico;asiatisch/ Asiat
portiera;Wagentür
sedano;Sellerie
durata;Dauer, Weile
scorrere, fluire;fließen, rinnen, strömen
treno rapido;Eilzug
durare;dauern, währen
conservatorio;Konservatorium
urto, spinta;Stoß, Trieb
multa;Geldstrafe
pero;Birnbaum
cetriolino;Gewürzgurke, saure Gurke
affascinante;allerliebst, anmutig, hold, lieblich, reizend
melanzana;Eierpflanze, Aubergine, Eierfrucht
umile;demütig, kleinlaut, unterwürfig
si capisce;zweifelsohne
ventre;Bauch, Unterleib
Stoccolma;Stockholm
cosciente;wissentlich
fattura;Faktura, Rechnung, Warenrechnung
origliare;belauschen
agonia;Agonie, Todeskampf
stoviglie;Steingut, Keramik
cognac;Kognak
mercanteggiare;feilschen, dingen
bagassa;Bagasse
arrugginito;rostig
sufficiente;auskömmlich, genügend, ziemlich, zulänglich
rinoceronte;Nashorn
toccare;rühren, anrühren, berühren
modista;Modistin
poesia;Dichtkunst, Dichtung, Poesie
staccare;abreißen, losreißen, pflücken, abpflügen
discreto;diskret, verschwiegen
Alessandro;Alexander
bagaglio;Gepäck, Verpackung
contare;zählen, aufzählen
fascino, incanto;Anmut
eleggere, scegliere;auslesen, wählen, auswählen, erwählen
artiglio;Klaue, Kralle
abilità;Kapazität/ Geschicklichkeit, Gewandtheit
tiglio;Linde, Lindenbaum
nuocere;beeinträchtigen
sportello;Schalter, Schiebefenster
ravanello;Radieschen/ Rettich
argentare;versilbern
australiano;australisch/ Australier
bruco;Raupe
dare;erteilen, geben, herreichen
abissino;abessynisch/ Abessinier
sprezzo;Verachtung
ippopotamo;Flusspferd
udienza;Audienz
costruzione;Erbauung, Bau
passo;Schritt, Tritt
lenticchia;Linse
mostro;Ungeheuer, Ungetüm, Unhold
alba;Tagesanbruch/ Morgenröte, Polarlicht, Reiz des Neuen, Zauber, Morgenrot
senza fondo;grundlos
spada;Degen
disposto;geneigt zu
aiutante;Adjutant, Hilfsoffizier
sidro;Apfelwein, Obstwein, Zider
onorevole, rispettabile;achtbar
monumento;Denkmal, Monument
circondare;umringen, umzingeln
bronzo;Bronze, Erz
brigante, bandito;Bandit, Räuber
