der, die, das;the
picknicken, ein Picknick machen v;picnic v
Gleichgültigkeit, Indifferenz n;indifference n
Aufsetzen (Flugzeug), Touchdown (Football) n;touchdown n
Hotelzimmer n;hotel room n
abprallen, zurückprallen, zurückkommen v;bounce back v
Pfote, Tatze, Pranke n;paw n
gefühllos, taktlos, unsensibel, gleichgültig, unempfindlich adj;insensitive adj
Abwanderung von Wissenschaftlern, Abwanderung von Fachkräften, Braindrain n;brain drain n
Snowboard fahren, snowboarden v;snowboard v
ineffizient, unwirtschaftlich, unfähig adj;inefficient adj
schädlich, abträglich adj;damaging adj
jugendlicher Liebhaber n;toy boy n
sich eine selbst bewahrheitende Vorhersage n;self-fulfilling prophecy n
Hotelunterkunft, Hotelunterbringung, Hotelzimmer n;hotel accommodation n
gegenstandslos, grundlos, unbegründet adj;unfounded adj
verdammt!, verflucht!, Mist!;curse you!, curse it!
klassifizieren, nach Gruppen unterteilen v;classify sth (under sth) v
Panama n;Panama n
baltisch adj;Baltic adj
alarmierend, beunruhigend, erschreckend adj;alarming adj
Hintermänner, Drahtzieher n;back-room boys n
Lebenserwartung n;expectation of life n
Scheide (Anatomie) n;vagina n
Endstand, Schlussergebnis n;final score n
Barrikade n;barricade n
Ausstellungszentrum, Messegelände n;exhibition centre (BrE), exhibition center (AmE) n
etw durchbringen (durch eine Abstimmung) v;vote through sth v
steril, unfruchtbar adj;sterile adj
oberflächlich, äußerlich adj;superficial adj
Sportzentrum n;sports centre (BrE), sports center (AmE) n
Norddeutschland n;northern Germany n
zu minimalen Kosten;at minimal cost
schinden, überanstrengen, überstrapazieren, sich überarbeiten v;overwork v
Pullover n;pullover n
Patrone, Kassette n;cartridge n
Leiste, Stab, (schmale) Latte n;slat n
absoluter Nullpunkt n;absolute zero n
Watt, Flutwasser n;tidewater n
hoch begabt, überaus begabt;supremely gifted
Fremdenfeindlichkeit, Fremdenhass, Xenophobie n;xenophobia n
anflehen, inständig bitten, erbitten, erflehen v;implore v
unaufhaltsam, nicht aufzuhalten adj;unstoppable adj
heftiges Temperament, aufbrausendes Temperament n;quickness of temper n
Eigentor n;own goal n
Guckloch, Spion n;spy hole n
oberflächlich, äußerlich adv;superficially adv
Anhang, Nachtrag, Zusatz, Nebengebäude n;annex n
Devisen, Fremdwährung n;foreign currency n
betriebliche Altersversorgung n;company pension n
sich schlecht benehmen v;misbehave v
Cowboy n;cowboy n
Kapitalmarkt n;capital market n
irrational, unsinnig, vernunftlos adj;irrationally adj
mit verständlichen Worten;in plain English
Schlamm, Matsch n;sludge n
anhaltender Applaus n;prolonged applause n
Vertreter(in), Verfechter(in), Interpret(in), Exponent, Hochzahl n;exponent n
sichere Verwahrung n;safe keeping n
Illumination, festliche Beleuchtung, Festbeleuchtung n;illuminations n
biblische Geschichte n;Bible story n
vielseitige Anwendung n;manifold uses n
Rollschuh laufen v;roller-skate v
flüchtig, impulsiv, sprunghaft, wechselhaft adj;volatile adj
Genauigkeit, Zielgenauigkeit n;accuracy n
Belästigung n;molestation n
periodisch auftretend, intermittierend adj;intermittent adj
Preisverleihung, Preisverteilung n;prise-giving (BrE), prize-giving (AmE) n
Naturwissenschaft n;natural science, physical science n
erstrebenswert, begehrenswert, wünschenswert adj;desirable adj
etw vortäuschen, etw simulieren v;sham v
Kanalisation, Kanalisierung n;canalisation (BrE), canalization (AmE) n
etw auf etw streuen, etw mit etw besprengen v;to sprinkle sth on sth v
sich beschissen fühlen v;feel icky v
Naturwissenschaften n;natural sciences n
ansteckend, direkt übertragbar adj;contagious adj
Degen, kurzes Schwert mit zwei Schneiden n;rapier n
Fixer, Junkie, extremer Fan von etw n;junkie n
Dramatiker n;playwright n
Kreisel, Gyroskop n;gyroscope n
Himmelreich, himmlisches Königreich n;kingdom of heaven n
Überdosis Heroin n;heroin overdose n
Keramik n;ceramics n
ausrufen, aufschreien v;exclaim v
Korsett, Hüfthalter, Gürtel, Umrahmung n;girdle n
Glass ohne Henkel n;straight glass n
Erbanlage, genetischer Code n;genetic code n
aufgeregtes Durcheinander n;buzz of excitement n
Knoten, Schnittpunkt, Knotenpunkt n;node n
Wendekreis des Krebses n;Tropic of Cancer n
stur, dickköpfig, eigensinnig, hartnäckig, unerbittlich adj;stubborn adj
Durcheinander n;muddle n
kategorisch, mit Bestimmtheit adv;categorically adv
Biergarten n;beer garden n
etw umbiegen, etw umrahmen v;rim sth v
Garderobe (Kleiderablage im Theater) n;cloakroom n
Wendekreis des Steinbocks n;Tropic of Capricorn n
geistlich und weltlich adj;sacred and profane adj
nordirisch adj;Northern Irish adj
verschuldet sein v;be in debt v
verdampfen, verdunsten, verdunsten lassen v;vaproise (BrE), vaporize (AmE) v
Fröhlichkeit, Frohsinn, Heiterkeit n;joyfulness n
Psyche n;psyche n
zuschnappen lassen v;snap shut v
Paraguay n;Paraguay n
Knebel, Mundsperre, Gag, Joke n;gag n
Schnaps n;schnapps, schnaps n
das steigende Barometer n;the rising glass n
sein Geld herausrücken v;part with one's cash v
Oase n;oasis - oases n
Ochse n;ox - oxen, bullock n
Eiserner Vorhand, Vorhand aus Eisen n;safety curtain n
eineiiger Zwilling n;identical twin n
Generalstreik n;general strike n
Retortenbaby, Kind aus der Retorte n;test-tube baby n
jdn einsperren v;lock sb up, put sb behind bars v
Chorprobe n;choir practice n
zweieiige Zwillinge n;fraternal twins n
Sumpf, Sumpfland n;marsh, marshland n
Inventar, Bestandsliste, Lagerverzeichnis, Bestände, Inventur n;inventory n
Klarinette n;clarinet n
Widerwillen, Abneigung n;reluctance n
umsiedeln, neu besiedeln, wieder besiedeln v;resettle v
Scheich n;sheik, sheikh n
Akkordeon n;accordion n
Verachtung, Missachtung, Geringschätzung n;contempt n
Fehlfunktion, Defekt n;malfunction n
optische Täuschung n;optical illusion n
ausgestorbene Tierart, ausgestorbene Spezies n;extinct species n
Schlagwort (Slogan) n;slogan, catchphrase n
Selbstkritik n;self-criticism n
greifbar, fühlbar, durch Berührung erfolgend adj;tactile adj
getrennte Schafzimmer n;separate bedrooms n
Konzerthalle, Konzertsaal n;concert hall n
anstecken, anstecken, infizieren v;infect v
Mineralwasser n;mineral water n
Wohnheim n;residential home, residential establishment n
Reinkarnation, Wiedergeburt n;reincarnation n
Tiefpunkt, Nullpunkt n;rock bottom n
Verhandlungstisch n;negotiating table n
Friedensvertrag n;peace treaty n
sonnengebräunt, braun gebrannt adj;suntanned, tanned adj
Buchhändler n;bookseller n
Ängste zerstreuen v;dilute fears v
einen Schrecken einjagen (AmE) v;spook (AmE) v
"Schwergewicht, Schwergewichtler, ""großes Tier"" n";heavyweight n
in einer Spirale, spiralförmig adv;spirally adv
heften, mit Klammern befestigen, mit Krampen befestigen v;staple v
Verschwörung, Komplott, Konspiration n;conspiracy n
armer Teufel, armer Schlucker n;wretch n
Rauschgifthandel, Drogenhandel n;drug traffic, drug trafficking n
Privatunternehmen, freies Unternehmertum n;private enterprise n
hacken (mit einem Hackwerkzeug) v;hoe (hoed - hoed) v
Planetarium n;planetarium n
Maure, Mohr n;Moor n
Weihnachtsmann n;Father Christmas (BrE), Santa Claus (BrE, AmE) n
freies Unternehmertum n;free enterprise n
umsehen, zurückblicken v;look back v
Eier mit Speck oder Schinken n;bacon and eggs n
publik werden v;become public v
Radioaktivität n;radioactivity n
Pigmentmahl, Leberfleck, Maulwurf, Spion, Mole (Seefahrt) n;mole n
Anziehungskraft (durch Gravitation) n;gravitational pull n
Gotteshaus, Tabernakel n;tabernacle n
Wiedergeburt n;rebirth n
Sirup, Saft n;syrup (BrE), sirup (AmE) n
Flutmarke, Rand durch Wasserstand (im Badezimmer) n;tidemark n
grüne Minze n;spearmint n
Eklipse, Finsternis, Verblassen n;eclipse n
Erwachsenenbildung n;adult education n
jdn verprügeln, jdm den Hintern versohlen, jdm einen Klaps auf den Hintern geben v;spank v
Lebensgeschichte n;life story n
unvernünftig, unsinnig, vernunftlos, irrational adj;irrational adj
Muttergesellschaft n;parent company n
betrunken sein adj;be drunken adj
Schnauze, Maul, Maulkorb, Mündung (Schusswaffe) n;muzzle n
Zittern, Beben, Tremor, Zucken, Erschütterung n;tremor n
Lehrstuhl (an einer Hochschule) n;university chair, chair n
Zusammenfassung, Kurzzusammenfassung, Kurzfassung n;abstract n
Lebensstil, Lifestyle n;lifestyle n
Schimpfwort, Fluch n;swear word n
Häppchen, Leckerbissen (kulinarisch), Leckerbissen (Information) n;titbit (BrE), tidbit (AmE) n
Leitartikel n;leading article n
vertieft sein in, versunken sein in v;be absorbed in v
Kopfball, Kopfsprung, Kopfzeile n;header n
etw verabreden (mit jdn) v;arrange sth (with sb) v
Antibiotikum n;antibiotic n
Bolivien n;Bolivia n
verdorben, unsauber, infiziert, verpestet, verunreinigt, manipuliert, verschmutzt adj;tainted adj
letztere, letzterer, letzteres adj;latter adj
Absprung mit dem Fallschirm n;parachute jump n
Lawine n;avalanche n
Meinungsumfrage n;opinion poll n
sich einmischen in v;interfere in, meddle with v
in fieberhafter Erregung;in a fever of excitement
Salatgurke, Gurke n;cucumber n
obere Preisgrenze n;price ceiling n
Bodentruppen n;ground troops n
stur, störrisch, starköpfig adv;stubbornly adv
Traktor, Trecker, Zugmaschine, Sattelschlepper n;tractor n
Heimkehr n;homecoming n
Wiederbelebung, Neubelebung n;reanimation n
Ausbreitung, Diffusion n;diffusion n
Beilage (Restaurant) n;side dish n
Feldstärke (Elektrotechnik) n;field strength n
Seltenheit, Rarheit n;rareness n
die Arme verschränken;fold one's arms
reiben, raspeln, kratzen v;grate v
aus Sentimentalität;for sentimental reasons
Arbeitslosenzahlen n;jobless figures n
Elektrotechnik n;electrical engineering n
Weste (Kleidungsstück), Anzug-Weste n;waistcoat n
bedauerlich adj;regrettable adj
knurren, böse brummen v;growl v
ohne die Miene zu verziehen adj;straight-faced adj
Ruck, ruckartige Zugbewegung n;yank n
Erdung (Elektrotechnik) n;earthing (BrE), grounding (AmE) n
ein heimlicher Trinker, eine heimliche Trinkerin n;closet alcoholic n
Terminplaner, Zeitplaner, elektronisches Notizbuch n;personal organizer n
ohne die Miene zu verziehen adv;straight-face, with straight face adv
Strafrecht n;criminal law, penal law n
spöttisch grinsen, spotten v;sneer v
kalter Krieger n;cold warrior n
Wohneigentum, Wohngrundstück, Wohngebäude n;residential property n
schlecht gelaunt, missmutig, grantig, brummig, mürrisch adj;grumpy adj
Frische, Neuheit, Frechheit, Pampigkeit n;freshness n
Honduras n;Honduras n
akklimatisieren v;acclimatise (BrE), acclimatize (AmE), acclimate (AmE) v
binnenländisch, inländisch adj;inland adj
ein Auto zurücksetzen v;reverse a car v
Selbstaufopferung, Aufopferung, bedingungslose Hingabe n;self-abandonment n
Hinterbliebenen n;bereaved n
durchlaufen v;run through v
minimal invasive Chirurgie, Schlüssellochchirurgie n;keyhole surgery n
siegreich, triumphierend, triumphal adj;triumphant adj
psychiatrische Klinik, Nervenklinik, Nervenheilanstalt n;mental hospital n
Golfplatz n;golf course n
Polo n;polo n
Mist, Dung n;manure, dung n
heiße Höschen, Hotpants n;hot pants n
verzerren, verdrehen, verzerrt darstellen v;distort v
doppelte Verneinung n;double negative n
Embargo n;embargo - embargoes n
leicht verderblich, verderblich, vergänglich adj;perishable adj
Lebenszeit, Lebensdauer n;lifetime n
Unterwelt n;underworld n
einen Flirt mit jdm anfangen v;engage sb in flirtation v
Trauergottesdienst, Trauerfeier n;funeral service n
Gesetzbuch (BrE) n;statute book (BrE) n
jdm etw zutrauen v;credit sb with sth v
gehetzt, gequält, ruhelos, Spuk-... adj;haunted adj
störrisch adj;tough-minded adj
eine Person mit höherem Dienstgrad, ein höherer Dienstgrad n;a person of higher rank, a higher ranking person n
Flüchtlingslager n;refugee camp n
Landebahn, Landestreifen n;landing strip n
mit Höchstgeschwindigkeit;at top speed
Straßenfest n;street party n
Polizeiarbeit, polizeiliche Nachforschungen n;police work n
Pelz, Fell n;pelt n
in Zivil, in ziviler Kleidung;in civilian clothes
Rummelplatz, Messegelände n;fairground n
Gesamtumsatz n;gross turnover n
Durcheinander, Kram n;clutter n
auswaschen, sich auswaschen lassen, ausspülen (z. B. den Mund) v;wash out v
einen Graben ausheben v;dig a ditch v
Antenne n;aerial, antenna n
sich selbst bemitleiden v;be sorry for oneself v
Echtheit, Authentizität, Berechtigung n;authenticity n
Müdigkeit n;tiredness n
Kodex n;codex n
auslachen, mit Gelächter übertönen v;laugh down v
folgerichtig (Jura), wichtigtuerisch, überheblich adj;consequential adj
Dampf ablassen;let off steam
Delikatesse, Takt, Feingefühl, Feinheit, Zartheit, Zerbrechlichkeit n;delicacy n
Schotterpiste (Landebahn) n;gravel strip n
mit jdm herummachen, fremdgehen v;play round with sb v
verschlüsseln v;encode v
Notrufnummer, Nummer für dringende Notfälle n;emergency telephone number n
Viper (Schlange) n;viper n
Kraftfahrzeugbrief (AmE) n;registration document (BrE) n
Eindringling n;intruder n
aus einer Packung, aus der Packung adj;ready-mix adj
Passatwind n;trade wind n
Gepard n;cheetah n
Kühler n;cooler n
Kulturminister n;arts minister n
Tastsinn n;tactile sense n
tropischer Regenwald n;tropical rain forest n
Isolierung, Isoliermaterial, Geschütztheit n;insulation n
Aversion, Abneigung, Abscheu n;aversion n
Hemdkragen n;shirt collar n
widerhallen, nachhallen v;reverberate v
grobe Kalkulation n;rough calculation n
Computerspiel n;computer game n
Hygiene n;hygiene n
Beugung (Physik), Diffraktion n;diffraction n
automatische Silbentrennung n;autohyphenation n
Dummkopf, Schwachkopf n;nitwit n
flippern v;play pinball v
Primzahl n;prime number, prime n
einfrieren, einfrosten, schockgefrieren v;quick-freeze v
etw abpflücken, etw abzupfen, ausrupfen, auszupfen v;pluck v
Nervensystem n;nervous system n
Standesamt (BrE) n;registry office (BrE) n
Skonto, Rabatt bei Barzahlung n;cash discount n
auffrischen v;brush up v
windundurchlässig, luftdicht adj;windproof adj
Granate n;grenade n
Spermium, Sperma n;sperm n
Konteradmiral (Militär) n;rear admiral n
Wiederverwertung, Recycling, Wiederaufbereitung n;recycling n
Mund-zu-Mund-Beatmung n;kiss of life n
wegbereitend, bahnbrechend adj;trailblazing adj
Uruguay n;Uruguay n
widerhallen v;resonate v
Staubsauger (BrE) n;Hoover (BrE) n
Hängebrücke n;hanging bridge, suspension bridge n
verhungern v;die of famine v
Rundstrahl-..., allseitig abstrahlend n;omnidirectional n
Sachlichkeit, Direktheit n;matter-of-factness n
machtlos, kraftlos adj;powerless adj
Bäder, Badeanlagen, Schwimmhalle (BrE, veraltet) n;baths n
Selbstverwirklichung n;self-realisation (BrE), self-realization (AmE) n
Frotteetuch, Frottiertuch n;terry towel n
Sinus (Mathematik) n;sine n
Vernünftigkeit, Berechtigung, Angemessenheit n;reasonableness n
Gründonnerstag, Himmelfahrtstag n;Holy Thursday n
Windel, Babywindel n;nappy, diaper (AmE) n
Pendelverkehr n;shuttle service n
Magier, Zauberer, Zauberin, Zauberkünstler n;magician n
Stellensuche, Stellenjagd n;job hunt, job-hunting n
Fracht, Frachtgut, Frachtverkehr n;freight n
verschlafen v;oversleep (overslept - overslept) v
Bronzemedaille n;bronze medal n
Stecker n;male plug n
säkularisieren v;secularise (BrE), secularize (AmE) v
Wiedereinstellung, Wiedereinführung n;reinstatement n
Sonnenkollektor n;solar collector n
Stahlwerk n;steelworks n
versessen auf adj;hellbent on adj
Fortpflanzung, Reproduktion, Wiedergabe n;reproduction n
Zeitungsjunge (AmE) n;newsboy (AmE) n
Trommelfell n;eardrum n
Geograf(in) n;geographer n
Pulverschnee n;powder snow n
Kursivschrift n;cursive n
Kleidungsstück, Gewand n;garment n
Kopftuch n;headscarf n
Geisterfahrer n;ghost driver n
Lava n;lava n
Federgewicht, Leichtgewicht n;featherweight n
Kunsthandwerk, Kunstgewerbe n;arts and crafts n
schmerzlos adv;painlessly adv
wieder aufwärmen, aufwärmen v;reheat v
Bananenstaude n;banana tree n
leicht aufbrausend, jähzornig adj;hot-tempered adj
Arsch n;arse n
Selbstsicherheit n;self-assurance n
Zickzack n;zigzag n
Papiergeld n;paper money n
Hungertod, Hungern, Aushungern n;starvation n
Kampfflugzeug n;combat plane n
Gepäckschließfach n;luggage locker n
Wohlbefinden, Wellness n;wellness n
versöhnlich, nicht nachtragend adj;forgiving adj
X-beinig v;knock-kneed v
geneigt, gefärbt (figurativ) adj;slanted adj
Schlaginstrument, Percussion-Instrument n;percussion instrument n
Reiseführer(in) n;tour guide, tour director (AmE) n
gewölbt adj;vaulted adj
Zeitungsjunge n;paperboy n
Tagesmenü, Tagesgericht n;set meal, set lunch n
erblinden, blind werden v;to go blind v
Müllwagen (AmE) n;garbage truck (AmE) n
As (Kartenspiel), Ass (Tennis) n;ace n
Wohlfahrtsstaat n;welfare state n
Zitronensaft n;lemon juice n
Ungeziefer, Wanze, Käfer, Programmfehler n;bug n
Gewinn- und Verlustrechnung n;profit and loss account, profit and loss statement n
angeheitert, benommen, wirr im Kopf, oberflächlich adj;light-headed adj
Schellfisch n;haddock n
Oberlippenbart, Schnauzer n;moustache (BrE), mustache (AmE) n
Pferd (mit Hufeisen) beschlagen v;shoe (shod - shod) v
Blockhaus, Blockhütte n;log cabin, blockhouse n
anorganisch, unorganisch adj;inorganic adj
Reiseleiter(in) n;courier, guide n
Wertsachen, Wertgegenstände n;valuables n
Laster, Unart, Untugend, Lasterhaftigkeit n;vice n
Kokospalme n;coconut palm, coconut tree n
Einlösung, Abzahlung, Tilgung, Erlösung (Religion) n;redemption n
Rücklicht, Schlusslicht n;rear light, tail light n
Brühe, Fleischbrühe n;broth n
sorglos, unbekümmert adj;carefree adj
Doppelhaus n;two semi-detached houses (BrE), duplex house (AmE), duplex (AmE) n
Unregelmäßigkeit, Ungesetzmäßigkeit, Gesetzwidrigkeit, Illegalität n;illegality n
Statische Elektrizität, Reibungselektrizität n;static electricity, static n
etw ausgraben, etw ausheben, Ausgrabungen machen v;excavate v
Stoßdämpfer n;shock absorber n
Gasherd n;gas cooker n
Überschallknall n;sonic boom n
väterlich adj;paternal, fatherly adj
Zifferblatt n;clock face n
Vorsicht - zerbrechlich!;handle with care
Erzählen n;telling n
Schwerindustrie n;heavy industry n
Netzhaut, Retina n;retina n
entfremden v;estrange v
Altweibersommer, Spätsommer, Indian-Summer n;Indian summer n
Flugschein, Pilotenschein n;pilot's licence n
Metallarbeiter(in) n;metalworker n
abblättern, abbröckeln, absplittern v;to flake (off), to come off in flakes v
Schimpfwort n;term of abuse n
Vollpension n;full board n
Tachometer, Geschwindigkeitsmesser n;speedometer, odometer, milometer (AmE) n
Kobold, Racker n;imp n
Schweißnaht, Schweißstelle n;weld n
verwendbar (als, unter) adj;usable (for), can be used ... adj
Sardelle n;anchovy n
Vaterschaft n;fatherhood n
Gel n;gel n
Zirkel (Mathematik) n;compasses, pair of compasses n
Ehefrauen n;wives n
Koordinate n;coordinate n
Hilfsverb n;auxiliary verb n
jdn/etw zähmen, jdn/etw bezähmen, jdn/etw zügeln, jdn/etw bändigen v;tame v
Ausruf n;exclamation n
Rentier, Ren n;reindeer n
Gloriole, Heiligenschein n;gloriole n
Idealbild, Trugbild n;ideal n
Hausarrest n;house arrest n
herauspumpen, auspumpen, leer pumpen v;pump out v
Zeitbombe n;time bomb n
saufen (Alkohol) v;booze v
sklavisch adj;slavish adj
brüten, grübeln, Trübsal blasen v;brood v
Leuchtturm n;lighthouse n
Gasherd, Gaskocher n;gas stove n
Ortszeit n;local time n
Kinohit, Knüller, Straßenfeger n;blockbuster n
Handelsbilanz n;balance of trade, trade balance n
Gästehaus, Fremdenpension n;guesthouse n
Gesamtsumme, Endsumme n;grand sum, total sum, total sum, grand total n
Kopfstütze n;head restraint n
Forschungsreise, Expedition, Feldzug, Schnelligkeit n;expedition n
mittleres Management n;middle management n
Latein, Latein-..., Latino, Latina n;Latin n
Ladendiebstahl n;shoplifting n
Filterkaffee n;filter coffee n
ausgezehrt, abgespannt, verhärmt n;haggard n
Atommasse n;atomic mass n
sicht totlachen, sich kaputtlachen v;laugh one's head off v
gefühllos adj;soullessly adj
rächen (an) v;revenge (on) v
Heiligenschein, Halo (Astronomie) n;halo n
Grenzfall n;borderline case n
Addierer, Viper, Natter n;adder n
Krimineller, Ganove, Gangster, Rowdy n;hoodlum n
Handschellen n;handcuffs n
Kammermusik n;chamber music n
Gepäckraum (Eisenbahn), Kofferraum (BrE) n;luggage compartment n
Brustschwimmen n;breaststroke n
Vorauszahlung n;advance payment n
Hackfleischbällchen, Fleischklößchen, Fleischkloß n;meatball n
epidemisch, seuchenartig adj;epidemic adj
Tennisball n;tennis ball n
eklig!, widerlich!, fies! adj;yucky yucky! adj
Esslöffel n;tablespoon n
Dienstbote, Dienstbotin n;menial n
Antiblockiersystem, ABS n;anti-lock braking system, ABS n
nachzählen v;re-count v
Obstsalat n;fruit salad n
Hackfleisch n;minced meat n
das schmutzige Geschirr, das dreckige Geschirr;the dirty dishes
Busen, Büste n;bust n
Flutlicht, Scheinwerfer n;floodlight n
Kotangens, Kotangens n;cotangent n
Polizeischutz n;police protection n
mutwillig beschädigen, verwüsten, demolieren v;vandalise (BrE), vandalize (AmE) v
Tulpe n;tulip n
kugelsicher adj;bullet-proof adj
Bahndamm n;railway embankment n
Karteikarte n;record card n
Ampere n;ampere n
automatisches Getriebe n;automatic transmission, automatic gears n
Briefkopf n;letterhead n
Brustwarze n;nipple n
Blut vergießen v;spill blood, shed blood v
Anstand, Schicklichkeit, Anständigkeit n;decency n
Kulturschock n;culture shock n
"Schimpfwort mit ""fuck"" n";f-word n
fürstliches Mahl n;royal feast n
sklavisch adv;slavishly adv
boshaft, bösartig, böswillig, miederträchtig, bedrohend, mutwillig adj;malicious adj
Längengrad n;degree of longitude, longitude n
zuknöpfen v;button up v
Aufgabenbereich, Zuständigkeiten n;terms of reference n
Sehnerv n;optic nerve n
Sextant n;sextant n
Gesamtsumme n;total sum, total amount n
Tretboot n;pedal boat n
schlampig adj;sloppy (sloppier - sloppiest) adj
Prüfer(in), Spielstein (im Damespiel), Kassierer(in) n;checker n
Richtigkeit, Korrektheit n;correctness n
Teufelskreis n;vicious circle n
Tornado n;tornado, twister n
Nullpunkt n;zero level n
gusseisern, hieb und stichfest n;cast-iron n
Videokassette n;video cassette n
Untermieter(in) n;lodger n
im Naturzustand;in the raw
Kombi (Auto) n;estate car, station wagon (AmE) n
Stammbaum, Ahnentafel n;pedigree n
felsig, steinig, wackelig adj;rocky adj
Ruhetag n;rest day n
Alligator n;alligator n
Annexion n;annexation n
über dem Meeresspiegel;above sea level
Grundgerüst, Gerüst, Gerippe n;framework n
die Schickeria n;fashionable people n
Zahlmeister(in) n;purser n
Rasierklinge n;razor blade n
Prediger(in), Moralprediger(in) n;preacher n
Golfschläger, Golfclub n;golf club n
Bruchband, Gerüst n;truss n
hitzig adj;sharp-tempered adj
Töpferscheibe n;potter's wheel n
schriftliche Vollmacht, Vollmacht n;letter of attorney n
Notlandung n;emergency landing n
ängstlich, verängstigt adj;frightened adj
Verjährungsfrist n;statute of limitations n
Kammerorchester n;chamber orchestra n
Gewerkschaftsmitglied n;member of a trade union (BrE), member of a labor union (AmE) n
Korrekturfahne n;page proof n
unregelmäßiger Puls n;erratic pulse n
Pfadfinder n;boy scout n
Raubtier n;predator, beast of prey n
Ordnungszahl n;atomic number n
Penizillin n;penicillin n
unverzeihlich adj;unforgivable adj
stressig, anstrengend, aufreibend adj;stressful adj
Briefmarkensammlung n;stamp collection n
häusliche Zwietracht n;domestic discord n
Rechtssteuerung (Auto) n;right-hand drive n
Möbelstück n;piece of furniture, article of furniture n
Kernspaltung n;nuclear fission n
Hafer n;oat n
Höllenhund n;hellhound n
hinken, humpeln, mit Müh und Not vorankommen v;limp v
Abenddämmerung, Dämmerung n;dusk n
Turnlehrer n;gym teacher n
gefühlvoll, ausdrucksstark, seelenvoll adv;soulfully adv
Falke n;falcon n
instinktiv, instinktivgesteuert adj;instinctive adj
Ruin, Verderben n;undoing n
Hausrat n;household goods n
Notlandung, Sicherheitslandung n;forced landing n
heißblütig, rassig adj;hot-blooded adj
Lichtschutzfaktor n;sun protection factor n
Dezimalsystem n;decimal system n
Nussschale n;nutshell n
zurückfordern v;demand back v
puh, pfui, pah, bah;poo, pooh
blankreiben, polieren, aufpolieren v;furbish v
Taumeln, Wanken, Schwanken n;stagger n
Meeresspiegel n;sea level n
Quitte n;quince n
zurückrufen v;call back, phone back v
Nonnenkloster n;nunnery n
Taktstrich n;bar line n
Isolator n;insulator n
Verbergen, Absonderung, Sekretion, Sekret n;secretion n
Schlinge n;noose n
Wachstuch n;oilcloth n
Diakon, Kirchenälteste(r) n;deacon n
Entbindungsstation n;maternity ward n
Fachwissen, Spezialwissen n;specialist knowledge n
Synonym n;synonym n
fermentieren, gären v;ferment v
Urwald n;primeval forest n
Studentenausweis n;student card n
Schlafsaal, Wohnheim (AmE) n;dormitory n
kapitalintensiv adj;capital-intensive adj
Platane n;plane tree, plane n
gefühllos, emotionslos, ausdruckslos adj;emotionless adj
Karrierist(in), Karrieremacher(in) n;careerist n
Watte n;wadding, cotton wool n
Heiligtum, Schrein, Pilgerstätte n;shrine n
Sandburg n;sand castle n
Parasit, Schmarotzer n;parasite n
sicheres Geleit n;safe passage n
unbeherrscht, hitzig adj;hot-heated adj
Steuerparadies n;tax haven n
Professur, Lehrstuhl n;professorship n
Obsttorte n;fruit flan n
Radiowecker n;radio alarm, radio alarm clock n
unbestreitbar, unanfechtbar adj;indisputable adj
krebsbefallen, krebsartig adj;cancerous adj
Speiseröhre, Kehle n;gullet, oesophagus (BrE), esophagus (AmE) n
Barzahlung n;cash payment n
Samenkorn n;seed corn n
Langstreckenläufer n;long-distance runner n
Seekrankheit n;seasickness n
Liegestuhl, Klappstuhl n;canvas chair n
jdm etw vortäuschen v;to feign sth (for sb) v
Ausreisevisum n;exit visa n
Pisse (ugs) n;piss n
Zahlmeister n;paymaster n
rechtmäßig adj;lawful adj
Heuschnupfen n;hay fever n
Kühlbox n;cold box n
Erbrochene(s), Erbrechen n;vomit n
Rückspiegel n;rear-view mirror n
Rechenfehler n;error in calculation n
Kristall, Kristallglas n;crystal n
Zivilschutz n;civil defense (BrE), civil defence (AmE) n
nachteilig adv;disadvantageously adv
Zucken, Zuckung, Ruck n;twitch n
Turbotriebwerk, Düsenflugzeug, Turbojet n;turbojet n
Baumaterial, Baustoffe n;building materials n
entgegensetzen v;set against v
im Leerlauf sein;be in the neutral
verwirrend, verblüffend adj;bewildering adj
Schamlosigkeit n;shamelessness n
Dauerwelle n;permanent wave, perm n
Rassendiskriminierung n;racial discrimination n
jdn zivilisieren, jdn Manieren beibringen v;civilise (BrE), civilize (AmE) v
verflixt, gestrichelt adj;dashed adj
unverantwortlich, verantwortungslos adj;irresponsible adj
Sprachkurs, Sprachkursus n;language course n
Lauffeuer, nicht zu kontrollierender Flächenbrand n;wildfire n
freudig n;joyously n
Windhund n;greyhound n
Schutzengel n;guardian angel n
Getue, Gehabe n;airs n
Wappen n;coat of arms n
Gaskammer n;gas chamber n
verwahrlost sein v;to be in a state of neglect v
schwelen, glimmen v;smolder, smoulder v
rechtmäßig adv;lawfully adv
Primitivität, Einfachheit n;primitiveness n
Sechseck n;hexagon n
Spritztour (mit dem Auto) n;joyride n
Oberarzt, Oberärztin n;senior doctor n
Selbstversorgung (Urlaub) n;self-catering n
Oberschicht n;upper class n
herrenlos n;ownerless n
handgeschrieben, handschriftlich adj;handwritten adj
zerdrücken, einstampfen, zu Brei verarbeiten v;pulp v
Kreuzworträtsel n;cross-word puzzle n
Psychose n;psychosis n
Admiral (Militär) n;admiral n
Mischling n;person of mixed race, half-caste (offensive) n
Roastbeef n;roast beef n
Siedepunkt n;boiling point n
etw durchblättern v;leaf through sth v
