complexion;Gesichtsfarbe, Teint
drawing-paper;Zeichenpapier
firm;fest, feststehend, firm, gediegen, stabil, wiederstandsfähig, Firma, befestigt, haltbar, gesetzt, solide
Bedouin;Beduine
zither;Zither
to be thirsty;dürsten
Palatinate;Pfalz
canteen;Feldflasche
column;Kolumne, Säule, Spalte, Rubrik
edging, brink, brim;Grat, Kante, Saum, Rand
Brabantine;brabantisch, Brabanter
Greenland;Grönland
apple-tree;Apfelbaum
despot;Gewaltherrscher, Despot
arthritis;Gelenkentzündung, Arthritis, Gicht
intentional;gesinnt, gesonnen
Moroccan;marokkanisch, Marokkaner
Monaco;Monaco
union;Zusammenschluss, Union, Bund
mosaic, mosaic work;Mosaik
to employ;anwerben, heuern, mieten, anwenden, benutzen, brauchen, gebrauchen, verwenden, verwerten
façade;Fassade
demon;Dämon
to indent;einrücken
Bolivia;Bolivien
sultan;Sultan
adjournment, delay, abeyance;Aufschub, Verzögerung
serene, untroubled;heiter, ungetrübt
Polish provincial governor;Woiwod
Ankara, Angora;Ankara
to civilize;bilden, gesittet machen, zivilisieren
dock;Dock
Aurora;Aurora
to erect;gründen, etablieren, fundieren, begründen
amber;Ambra, Amber, Bernstein
Bahraini;bahrainisch
Russian language;Russisch, russische Sprache
binoculars;Fernglas, Fernrohr
to accomplish;erlangen, erzielen, reichen, erreichen, ausführen, ausrichten, bestellen, erfüllen, leisten
cubic;kubanisch
ruff, fighting cock, gamecock;Kampfhahn
valid;rechtsgültig
bulldozer;Bulldozer, Planierraupe
pantomime;Pantomime
malicious, vicious;arg, arglistig, boshaft, hämisch, tückisch, heimtückisch
unfair, unjust;unbillig
anarchist;anarchistisch, Anarchist
hostage;Geisel
to pose;affektieren, künsteln, sich zieren, posieren
adrenaline;Adrenalin
to snuffle;schnuppern, schnüffeln, pusten
glossary;Glossar
to give;schenken, beschenken, stiften, verehren, verschenken, erteilen, geben, herreichen
crude oil;Erdöl, Petroleum, Naphta
to swear;lästern, fluchen, beeidigen, schwören, beschwören
to be on duty;Dienst tun, dienen, Posten stehen
undue;übermäßig, überschwänglich, übertrieben
sorrow;Betrübnis
stuffing;Füllung (Speisen)
Central African Republic;Zentralafrikanische Republik
model;Modell, Muster, Schablone, Schema
to land;stranden, landen
contempt;Verachtung
low;niedrig, gemein, infam
to roar;brausen, sausen, zischen
camel;Kamel
cow-wheat;Wachtelweizen
strontium;Strontium
graphics, graphic arts;Schreib-, Zeichen- und Malkunst, Grafik, Graphik
garlic bulb;Knoblauchzwiebel
to drag;ziehen, verziehen, schleppen, nachschleppen
tapestry, wall covering;Tapete
wreath, garland;Gewinde, Girlande
nimbus;Nimbus
watercourse;Flussbett
ball-room;Tanzsaal
meercat;Meerkatze
spade;Spaten
riot, tumult;Aufruhr, Aufstand, Getümmel, Krawall, Tumult
medick;Luzerne, Schneckenklee
anthropologist;Anthropologe
complex;komplex, zusammengesetzt, verwickelt, kompliziert, Komplex, umständlich
coyote;Kojote, nordamerikanischer Präriewolf
impressionism;Impressionismus
romance;Romanze
Caspian Sea;Kaspische Meer
Pretoria;Pretoria
Addis Ababa;Addis-Abeba
favour;Gnade, Gunst, Vergünstigung, Gefallen, Gefälligkeit
architrave;Architrav
to incline;neigen zu, neigen, hinneigen
peacock;Pfau
emerald;Smaragd
vase;Behälter, Gefäß, Vase
to qualify;qualifizieren, kennzeichnen
indirect;indirekt, mittelbar
Mercury;Merkur
outskirts, periphery;Peripherie
lagoon;Lagune
achromatic;farblos
Thai;thailändisch
metric;metrisch
Christmas rose;Christrose, Schwarze Nieswurz, Schneerose
guttural;Kehllaut, Guttural
prose;Prosa
Pakistani;Pakistaner, pakistanisch
scaffold;Blutgerüst, Schafott
to engage in a controversy;polemisieren
shock;Anstoß
he-goat;Ziegenbock
adverse;widerwärtig, schädlich
alacrity;Begierde, Gier, Begeisterung, Enthusiasmus
bastard;unehelich, Bastard..., Bastard, Mischling
to frighten;in Schrecken setzen, entsetzen, Entsetzen verbreiten, abschrecken, ängstigen, einschüchtern, verscheuchen
cornel;Hartriegel
Estonia;Estland
silk;seiden, Seide
equinox;Äquinoktium, Tagundnachtgleiche
to expel, to chase away;austreiben, ausweisen, fortjagen, vertreiben, wegjagen
yttrium;Yttrium
smock, overalls;Kittel
thisle;Distel
to plough;pflügen
to photograph;knipsen, fotografieren, ablichten, photographieren
Californian;kalifornisch
Ugandan;ugandisch
to smash, to shatter;zermalmen, zerschmettern
Turkmenistan;Turkmenistan
anchovy;Anchovis, Anschovis
scar;Narbe
sweet cherry;Süßkirsche, Vogelkirsche
parenthesis;Klammer, Parenthese
repetition;Wiederholung
jaguar;Jaguar
skunk;Stinktier, Skunk
abnormal;abnormal, anormal
to give up;abtreten, nachgeben, weichen, entsagen, verzichten
Egyptian;ägyptisch, Ägypter
to gild;vergolden
Alsace, Elsass;Elsass
African marigold;Studentenblume, Samtblume
Cape of Good Hope;Kap der Guten Hoffnung
Turk;Türke
absence of mind;Abstraktion, Zerstreuung, Unaufmerksamkeit
ether;Äther
to appeal;appellieren
genealogical;genealogisch
cornflower;Kornblume
perseverance;Aushalten, Beharren
to curry;striegeln
carpenter;Zimmermann
youngster;Jüngling
contralto voice;Altstimme
nightingale;Nachtigall
spy;Späher, Spion
golden;golden, Gold-
crystal;Kristall
to presume;beanspruchen, zumuten, vermuten, voraussetzen
mica;Glimmer
Lorraine;Lothringen
patronage, auspices;Schirmherrschaft, Vorzeichen
attraction;Anreiz, Anziehungskraft, Attraktion
toothache;Zahnschmerz, Zahnschmerzen, Zahnweh
temperature;Temperatur, Witterung
Perseus;Perseus
stone-marten;Steinmarder
to blunt;abstumpfen
temple;Schläfe, Tempel
corn;Hühnerauge, Schwiele, Mais
prudish;prüde, zimperlich
to twine, to wreathe, to plait;schlingen, winden, flechten
to pad, to upholster;polstern
upper-arm, upper arm;Oberarm
lighter;Funke
position;Position
skilled, practised;geübt
to come;entspringen, entstehen, herkommen, stammen, abstammen, kommen
to prostitute;huren, prostituieren
cigar-stub, cigar-end;Zigarrenstummel
spring pasqueflower;Frühlings-Küchenschelle
aphorism;Gedankensplitter
Tartar;Tatar
ghost, phantom;Geist, Gespenst, Phantom, Spuk
cave-man, wren, troglodyte, cave-dweller;Höhlenbewohner, Höhlenmensch
villain, serf;Leibeigener
shanty, barrack;Baracke, Lagerhütte
pro-English;anglophil, englandfreundlich
slice;Scheibe, Schnitte
to absorb;absorbieren, ähnlich machen, assimilieren, disponieren, verfügen, aufsaugen, einsaugen, schlürfen, einschlürfen
to secrete;ausscheiden, absondern
bleak;widerwärtig, düster, dunkel, trübe, rau, barsch, kalt, kahl
binary;binär
Bangkok;Bangkok
deserter, renegate;Glaubensverleugner, Abtrünniger, Renegat
Cassiopeia;Kassiopeia
patriot;Patriot
weightlessness;Gewichtslosigkeit, Leichtigkeit
to turn away;ableiten, abwenden, entwenden, abschicken, entsenden, fortschicken, wegschicken
bouillon;Bouillon, Brühe, Fleischbrühe
rook, steeple, tower;Turm, Zwinger
sail;Segel
lime;Kalk
dye;Farbe, Schminke, Tinktur
to curtail, to shorten, to abridge;abkürzen, verkürzen
excitement;Erregtheit, Aufregung, Erregung, Anregung
gall;Galle, Gallapfel
thoughtfulness;Vorsorge
Rumanian;rumänisch
conspiracy;Komplott, Verschwörung
to favour;begünstigen
starboard, right-hand side;Steuerbord
tar;Teer
abruptness, steepness;Steilheit
secretion;Sekret
conforming;gleich, entsprechend, konform
to subvert, to undermine;untergraben
to encode;kodifizieren
shark;Hai, Haifisch
melancholy;wehmütig, Melancholie, Schwermut, Tiefsinn, Trübsinn, Wehmut
dagger;Dolch
accountancy;Bücherrevision
club member;Mitglied eines Klubs
forsythia;Forsythia, Goldflieder
baby-sitter;Babysitterin, Babysitter
to atrophy;verkümmern
to spill;verschütten
Geneva;Genf
dogmatic;dogmatisch
Vietnamese;vietnamesisch
Florence;Florenz
Bruneian;bruneiisch
waist, waistline;Taille
mitre, miter;Mitra
grotesque;grotesk, wunderlich
to execute;exekutieren, hinrichten, vollstrecken
couch-grass;Quecke
instruction, directions;Belehrung, Weisung, Instruktion
injured, wounded;wund
sluice;Schleuse
emblem;Abzeichen, Emblem, Sinnbild
fairy;Fee, Genius, guter Geist
calcium;Kalzium
athlete;Athlet
damage;Beschädigung (während des Transports), Bruch (während des Transports), Havarie, Schaden (während des Transports), Seeschaden, Transportschaden, Schaden, Sachschaden, Verderbnis
cider;Apfelwein, Obstwein, Zider
dew;Tau
Corsica;Korsika
to link;montieren
triteness, triviality;Plattheit
uniform;Uniform, einförmig
express;Expreß
Justice;Justitia
piston;Kolben
muzzle;Maul, Maulkorb
relinquishment, renunciation, surrender, cession;Entsagung
to ascertain, to take note;als Tatsache feststellen, konstatieren
Zambian;sambisch
Semitic;semitisch
task, assigned job;Arbeit, Aufgabe, Pensum
cloak, mantle;Mantel, Umhang
flask, water-bottle;Feldflasche
