wertlos;worthless
Mexiko;Mexico
Stiefmutter;step-mother
Metzgerei;butcher's shop
Bericht, Meldung, Rapport, Referat, Vortrag, Auskunft, Bekanntmachung;report
Thüringen;Thuringia
misstrauen;to distrust
Nordsee;North Sea
Spanisch, spanische Sprache;Spanish language
Blitz;lightning
erklären, darlegen, erläutern, bilden, formen, ausmachen, verantworten;to account for
beiderseitig, gegenseitig, wechselseitig;mutual, reciprocal
belegen, decken, bedecken, einhüllen, verhüllen, zudecken, beziehen, überziehen, durchgehen, durchqueren, hindurchgehen;to cover
zeichnen, abzeichnen;to design
packen, einpacken, verpacken;to pack
keines, niemandes;no-one's
grell, herb, scharf, sensationell;lurid
Kurve;bend, curve
heranwachsend, Jugendlicher, Jugendliche;adolescent
gleiten, glitschen, rutschen;to glide
Ironie;irony
Fonds, Geldkasten, Kasse;fund
Anbau, Bau, Bauwerk, Gebäude;building
bauen, aufbauen, erbauen, konstruieren;to construct
gesättigt sein, satt sein;to be full, to have enough
hinnehmen, entsagen, verzichten;to renounce
Verdauung;digestion
gewogen, gnädig, günstig, hold;favourable
Schwiegertochter;daughter-in-law
Affekt, Bewegung, Gemütsbewegung, Krankheit, Rührung, Erkrankung, Liebe, Wohlwollen;affection
launisch, grillenhaft, kapriziös, launenhaft;fitful, capricious
flunkern, lügen, belügen;to tell a lie
Effekt, Wirkung, Wirksamkeit, Erfolg, Ergebnis, Resultat;effect
Ärger, Betrübnis, Verdruss;disappointment, grief, annoyance
Haupt-;arch-, chief-
Pfeiler, Pfosten, Amt, Anstellung, Dienst, Posten, Post;post
streiten, zanken;to quarrel
auch, ebenfalls, gleichfalls, gleich;likewise
förmlich, formell, formal;formal
dadurch;thereby
Konsonant, Mitlaut;consonant
volljährig;grown-up
Einkaufszentrum;shopping-centre
unterlassen, verpassen;to omit
Tabelle, Verzeichnis, Tisch;table
Mose(s);Moses
dann, darauf, hinterher, nachher, später, danach, bevorstehend, kommend, künftig, nächst, nahe, folgend, umgehend, kommender, nächster;next
einführen, einrichten, einsetzen, installieren;to install
rechter, recht, richtig, im Recht, Befugnis, Recht, zutreffend, gerade;right
automatisch, selbsttättig, zwangsläufig;automatic
andeuten, weisen, anweisen, zeigen, beantragen, vorschlagen, suggerieren, einreden;to suggest
Subtraktion;subtraction
Wasserklosett, WC;water-closet
Mama, Mütterchen;mom, mommy, mam, mammy
ausgraben, heben, aufheben, erheben, zücken, aufgehen, sich erheben, steigen;to lift
streng;severe, strict
sich abmühen, sich anstrengen, sich bemühen, sich Mühe geben, erproben, probieren, prüfen, versuchen;to try
streben;to strive for
Gang, Hausflur, Flur, Korridor;passage, corridor
Dutzend;dozen
Hymne, Lobgesang;hymn, anthem
Liebhaberin, Liebhaber, Geliebte;lover
lähmen, lahm legen, paralysieren;to paralyse
Käufer, Kunde;buyer, purchaser
Erfindung, Erfinden;invention
Aktentasche;briefcase
erschweren, behelligen, hindern, behindern, stören, verhindern, verschleppen, verstopfen, beengen, belästigen, genieren, lästig werden;to hinder
Pakistan;Pakistan
Glied, Teil, Stück, Brösel, Ära, Korn, Span, Zeitalter, Zeitrechnung, Tropfen;item, particle
verbinden, anziehen, kleiden, ankleiden, bekleiden;to dress
Karte, Zettel;card
Schnur, Schuhband;shoe-lace
Gas;gas
Geschlecht, Sex;sex
Wasser...;of water
liebevoll, einschmeichelnd, anhänglich, ergeben, zugetan;affectionate
(strafrechtlich) verfolgen, anklagen;sue, prosecute
endlos, unendlich;endless
abstrakt, begrifflich, unwirklich, Übersicht, theoretisch;abstract
Zahl, Zahlzeichen, Ziffer, Abbild, Figur, Gestalt;figure
erachten, kalkulieren, rechnen, berechnen;to figure, to calculate
Pharmazeut;pharmacist, dispensing chemist, pharmaceutical chemist
Quelle, Frühjahr, Frühling, Lenz, Feder, Triebfeder;spring
Gebrechen, Elend, Kummer, Traurigkeit;affliction
hinuntergehen, hinabsteigen, heruntergehen;to descend
explodieren, platzen;to explode
zurückschlagen;to reduce the price
Verwalter, Geschäftsführer;administrator
beerdigen;to entomb, to inter
anfänglich;in the beginning, at first, at the outset
multiplizieren, vervielfältigen;to multiply
salzen;to salt
Geologie;geology
einhüllen, einschlagen, einwickeln, umhüllen, umschlagen;to envelop
ähnlich, als, wie, inwiefern;like
Vorurteil;prejudice
Astronom, Sternforscher;astronomer
neu, Roman;novel
Nordamerika;North America
wandern, bummeln, irren, umherstreifen;to wander, to roam
Alkoven, Pause;recess
zusätzlich, nebensächlich, sekundär, untergeordnet;secondary
Mikrophon;microphone
Beruf, Gewerbe, Handwerk, Beschäftigung, Besetzung;occupation
ausgelassen;lewd
beabsichtigen, zielen auf;to take aim
weit, umfassend;ample, bulky, sizable
geloben, verheißen, versprechen, zusagen;to promise
spontan;spontaneous
eben, glatt, flach, egal, gar, ja, selbst, sogar, ausgeglichen, quitt, Paar-, gepaart, paarweise, reguläre (Matrix), regulär, regelmäßig, reguläre (Distribution), regelmäßiges (Vielflach), regelmäßiges (Vieleck);even
Möglichkeit;possibility
Annonce, Anzeige, Inserat, Reklame;advertisement, ad
Verantwortung;responsibility
aufdrängen, aufnötigen, dringen, aufdringen;to impose
Nadel, Stecknadel;needle
Gegenwehr, Widerstand;resistance
Verwandter, relativ, Relativpronomen;relative
gesundheitlich, hygienisch;hygienic
baldig, geschwind, hurtig, rasch, schnell;speedy
dirigieren, führen, richten, steuern, lenken;to steer
#NAME?;#NAME?
Aprikose, Marille;apricot
sich betrinken;to get drunk
plagen;to plague
Traktor;tractor
ausrufen, verkündigen;to herald
nagen;to gnaw
unbedeutend;minor
aus irgend einem Grunde;for some reason
Teilung, Division;division
anziehen, kleiden, ankleiden, bekleiden;to clothe
Entscheidung, Entschluss, Beschluss;decision
Heimat, Vaterland;fatherland
knoten;to knot
erscheinen, aussehen, scheinen;to appear
Kasachstan;Kazakhstan
sich amüsieren;to enjoy oneself, to have a good time
Elend, Not;misery
Vorteil, Gewinn, Überschuss, Verdienst, Interesse, Nutzen;benefit
#NAME?;#NAME?
Elch;moose, elk
Schrank, Kabinett;cabinet
herbstlich, Herbst;autumn
ausführlich, detailliert, einzeln, umständlich;detailed
lieb, teuer, wert;expensive
quellen, entspringen, springen;to spring
aufwaschen;to wash up
Bekanntschaft, Bekannter, Begriff, Kenntnis, Kenntnisse;acquaintance
ausrufen;to call out
Schreibtisch;writing-desk, writing desk
groß, hoch;lanky, of high stature
der deine, die deine, das deine, der euere, der Ihre;yours
Madrid;Madrid
Übersetzung, Übertragung;translation
Exemplar, Abdruck, Abschrift, Kopie, Nachbildung;copy
verfolgen, jagen;to hunt for, to hunt after
heimatlich, einheimisch;indigenous
Mandarine;tangerine
Bagatelle, Kleinigkeit;trifle
Schottland;Scotland
Watt;Watt, watt
befürchten, sich ängstigen, zagen;to be afraid of, to fear
gestern, gestrig;yesterday
zuzüglich, außerdem;together with
Hintergrund;background
sich duschen;to take a shower
Bewunderung;admiration
baden, ein Bad nehmen;to bathe
bilden, formen, ausmachen;to constitute
Nähe, Nachbarschaft;proximity
weit, umfassend, ausgedehnt, geräumig;extensive
adressieren, ansprechen;to address
Großonkel;great-uncle
Etage, Geschoss, Stock, Stockwerk, Geschichte, Historie, Erzählung;story
annähernd, etwa, ungefähr;approximately
Wasser..., Wasser;water
Feierlichkeit, Förmlichkeit, Zeremonie, Feier, Festlichkeit;ceremony
Bund, Bündel, Büschel, Garbe, Strauß;sheaf
Erziehung, Zucht, Züchtung;breeding
Psyche;Psyche
Elefant;elephant
Splitter;splinter
fallen, fällen;to drop
Norm-, normgerecht, normgemäß, normiert, genormt, normal;normal
Bericht, Mitteilung, Nachricht, Auskunft, Bekanntmachung;communication
materiell, Material, Zutat, Stoff, Zeug;material
Behauptung;assertion
jährlich, alljährlich;yearly
Gefängnis, Verlies;prison, gaol
reichlich;copious, profuse, plentiful, abundant
Israel;Israel
Ägypten;Egypt
glücklich, froh;happy
Kattun, Baumwolle;cotton
Lektion, Unterrichtseinheit, Vorlesung, Vortrag;lecture
bestürzt, ratlos, fassungslos, unschlüssig, perplex, verdutzt;perplexed, taken aback
wissenschaftlich;scientific
Mannschaft, Team;team
früher, zuvor;formerly, previously
noch einmal;one more time, encore
Hessen;Hesse
eilen, rennen, wettrennen;to race
Philosophie;philosophy
erobern;to conquer
Elbe;Elbe
Beere;berry
hin und her;vice versa, back and forth
Polizist, Schutzmann;policeman
baden, ein Bad nehmen;to have a bath
beliebig, eigenmächtig, willkürlich;arbitrary
Talmud;Talmud
Antarktischer Ozean;Antarctic Ocean
Faust;fist
Verwaltungs-;administrative
zünden, entzünden;to kindle
Butterbrot;bread and butter
gehen, laufen, marschieren, treten, besteigen;to walk
hebräisch, jüdisch;Jewish
Tenor;tenor
erscheinen, eintreten, anfertigen, herstellen, leiten, machen, tun, zurücklegen, ausführen, bestellen, erfüllen, leisten;to perform
feierlich, festlich;ceremonious, solemn
faul, faulig, albern, dumm;addled
