worthless;wertlos
Red Indian;indianisch
to go to court, to sue, to litigate;prozessieren
why;aus welchem Grunde, warum, weshalb, weswegen, woher
eventual, contingent;eventuell
soprano;Diskant, Sopran
cheerful;fröhlich, heiter, lustig, vergnügt
regal, royal;königlich
personal;persönlich, eigen
well-to-do, in easy circumstances;wohlhabend
absolute;absolut, unbedingt, unbeschränkt, vollzählig, vollkommen, komplett, vollständig, vollständiger (Raum), unbedingt notwendig, unabdingbar, bedingungslos
Buddhist;Buddhist
wise;gescheit, klug, weise
mayor;Bürgermeister
sledge, sleigh;Schlitten
gallant;brav, tapfer, tüchtig, wacker
apart from, except;ausgenommen, außer
of yesterday;gestrig
free;frei, geläufig, unentgeltlich, gratis, umsonst
psyche;Psyche, Geist
bosom;Brust, Busen
ton;Tonne
to negotiate;Geschäfte betreiben, Geschäfte machen, verhandeln
to tackle;sich nähern
struggle;Anstrengung, Kampf, Schlacht
almond-tree;Mandel, Mandelbaum
plenty;Überfluss
tango;Tango, Schlingern
eternal;ewig, stetig, ständig
analysis;Analyse, Untersuchung
pope;Papst
grass;Gras, Kraut
to inhale;einatmen
to ruin;umbringen, verderben, verheeren
demonstration;Demonstration, Vorführung
plausible;glaubhaft
to import;importieren, einführen
cap;Schirmmütze, Haube, Kappe, Mütze
puberty, adolescence;Pubertät, Jugend
to raise;aufziehen, züchten, bilden, erziehen, anstimmen, heben, aufheben, erheben, zücken, erhöhen
lung;Lunge
consulate;Konsulat
Mexico;Mexiko
step-mother;Stiefmutter
butcher's shop;Metzgerei
report;Bericht, Meldung, Rapport, Referat, Vortrag, Auskunft, Bekanntmachung
Thuringia;Thüringen
to distrust;misstrauen
North Sea;Nordsee
Spanish language;Spanisch, spanische Sprache
lightning;Blitz
to account for;erklären, darlegen, erläutern, bilden, formen, ausmachen, verantworten
mutual, reciprocal;beiderseitig, gegenseitig, wechselseitig
to cover;belegen, decken, bedecken, einhüllen, verhüllen, zudecken, beziehen, überziehen, durchgehen, durchqueren, hindurchgehen
to design;zeichnen, abzeichnen
to pack;packen, einpacken, verpacken
no-one's;keines, niemandes
lurid;grell, herb, scharf, sensationell
bend, curve;Kurve
adolescent;heranwachsend, Jugendlicher, Jugendliche
to glide;gleiten, glitschen, rutschen
irony;Ironie
fund;Fonds, Geldkasten, Kasse
building;Anbau, Bau, Bauwerk, Gebäude
to construct;bauen, aufbauen, erbauen, konstruieren
to be full, to have enough;gesättigt sein, satt sein
to renounce;hinnehmen, entsagen, verzichten
digestion;Verdauung
favourable;gewogen, gnädig, günstig, hold
daughter-in-law;Schwiegertochter
affection;Affekt, Bewegung, Gemütsbewegung, Krankheit, Rührung, Erkrankung, Liebe, Wohlwollen
fitful, capricious;launisch, grillenhaft, kapriziös, launenhaft
to tell a lie;flunkern, lügen, belügen
